WebframeHaveWorkedWith,count
Node.js,9230
React,8999
jQuery,4810
Express,4408
Next.js,4399
ASP.NET CORE,4319
Angular,4038
Vue.js,3642
ASP.NET,3094
Spring Boot,2916
Flask,2817
Django,2752
WordPress,2696
FastAPI,2487
Laravel,2016
AngularJS,1648
NestJS,1569
Svelte,1478
Ruby on Rails,1275
Blazor,1256
Nuxt.js,910
Htmx,815
Symfony,781
Astro,742
Fastify,622
Phoenix,567
Deno,476
Strapi,469
Drupal,468
Gatsby,455
CodeIgniter,416
Remix,407
Solid.js,273
Yii 2,245
Play Framework,175
Elm,133
